t_ms,grf_L,copx_L,copy_L,grf_R,copx_R,copy_R,L0,L1,L2,L3,L4,L5,L6,L7,L8,L9,L10,L11,L12,L13,L14,L15,L16,L17,L18,L19,L20,L21,L22,L23,R0,R1,R2,R3,R4,R5,R6,R7,R8,R9,R10,R11,R12,R13,R14,R15,R16,R17,R18,R19,R20,R21,R22,R23
0,187.977,0.5910,0.2545,520.266,0.3567,0.7588,38.331,59.466,7.821,34.201,7.494,5.831,4.214,3.762,4.653,5.242,3.101,1.633,2.695,5.145,0.630,0.448,0.792,0.112,1.409,0.000,0.282,0.255,0.459,0.000,3.573,2.469,1.638,2.016,2.761,9.365,4.132,3.403,9.402,11.042,6.030,2.123,7.551,10.897,16.207,37.102,33.139,15.118,4.866,88.229,113.300,81.740,38.815,15.347
20,188.770,0.5927,0.2548,521.489,0.3555,0.7573,38.138,60.261,8.253,34.287,7.275,4.615,4.300,2.938,5.441,5.332,3.490,1.131,3.163,5.802,1.134,0.597,0.058,0.404,1.124,0.000,0.573,0.000,0.110,0.344,3.694,2.493,1.979,2.936,2.583,10.081,3.736,2.723,9.829,10.210,7.349,2.687,6.501,10.269,16.804,37.390,33.911,15.365,4.794,88.743,112.852,80.625,38.545,15.389
35,187.865,0.5885,0.2505,522.635,0.3562,0.7572,38.845,60.091,8.522,33.905,7.524,4.967,4.010,3.363,5.495,5.464,3.456,1.016,2.902,5.005,1.514,0.809,0.205,0.287,0.067,0.000,0.000,0.250,0.000,0.168,3.290,3.434,1.859,2.657,2.724,10.122,3.004,3.024,9.845,11.316,6.584,2.882,6.721,10.681,16.553,37.042,34.153,15.185,3.917,88.195,112.982,81.009,39.905,15.550
49,185.722,0.5907,0.2454,521.692,0.3557,0.7571,38.691,59.862,9.029,33.140,8.595,5.046,4.444,3.168,5.385,4.790,3.356,1.283,2.551,4.579,0.408,0.572,0.000,0.251,0.450,0.000,0.000,0.000,0.000,0.123,3.775,2.649,2.546,2.630,2.454,9.516,4.274,3.124,10.215,10.556,7.017,1.560,6.404,10.448,17.089,37.578,33.490,15.210,4.361,88.070,112.762,80.950,39.067,15.947
62,295.221,0.6166,0.4188,524.691,0.3555,0.7551,21.491,34.221,9.610,19.702,10.144,20.046,7.483,10.294,29.230,21.758,12.731,4.426,18.534,32.529,3.527,5.192,4.145,2.834,3.757,3.639,7.368,8.031,4.077,0.451,3.829,3.468,2.965,2.314,3.097,10.173,3.543,3.319,9.771,11.035,7.189,2.708,5.620,10.547,17.103,36.879,33.963,15.650,4.454,88.669,112.874,80.752,39.337,15.432
76,300.211,0.6184,0.4234,0.192,0.3685,0.5714,21.108,34.666,8.877,19.580,9.913,19.667,8.398,10.391,29.825,21.440,13.179,5.648,18.428,32.643,3.397,5.803,4.884,2.927,4.438,3.762,7.976,7.907,3.748,1.605,0.000,0.000,0.020,0.000,0.000,0.000,0.027,0.000,0.000,0.000,0.034,0.004,0.010,0.020,0.000,0.026,0.005,0.003,0.000,0.011,0.000,0.000,0.026,0.006
90,295.159,0.6168,0.4214,0.217,0.4572,0.5739,21.529,34.525,8.308,19.973,9.636,19.688,8.171,10.571,28.673,21.210,13.344,4.655,18.282,32.494,3.124,5.080,4.403,2.556,3.478,4.362,7.589,8.264,4.337,0.907,0.000,0.000,0.000,0.000,0.020,0.029,0.019,0.000,0.025,0.000,0.000,0.002,0.009,0.003,0.000,0.000,0.023,0.000,0.036,0.000,0.026,0.000,0.009,0.016
104,297.896,0.6162,0.4180,0.200,0.4339,0.5183,22.355,35.046,9.280,20.764,8.779,19.749,7.652,11.180,29.201,21.609,13.103,4.720,17.762,32.943,3.934,5.348,4.559,2.594,4.150,3.110,7.550,7.984,3.868,0.657,0.015,0.032,0.000,0.000,0.000,0.010,0.000,0.018,0.000,0.026,0.000,0.000,0.000,0.000,0.006,0.000,0.005,0.020,0.036,0.000,0.000,0.018,0.000,0.012
118,292.019,0.6193,0.4194,0.236,0.4131,0.6155,21.132,34.130,8.441,20.274,9.632,19.329,7.760,10.672,29.435,20.645,12.637,5.629,18.205,31.899,2.837,4.856,3.425,2.743,3.696,3.685,7.587,8.156,4.187,1.028,0.005,0.015,0.000,0.000,0.003,0.000,0.003,0.016,0.000,0.000,0.028,0.023,0.000,0.000,0.008,0.035,0.000,0.013,0.032,0.016,0.000,0.000,0.041,0.000
131,296.882,0.6189,0.4225,0.248,0.4629,0.5305,21.213,33.870,8.933,19.300,10.028,19.853,8.491,11.457,28.743,21.321,13.229,4.859,18.159,32.352,2.178,4.700,5.592,2.891,4.587,4.091,7.526,8.246,3.772,1.491,0.006,0.005,0.000,0.013,0.012,0.007,0.028,0.000,0.018,0.000,0.000,0.010,0.065,0.015,0.000,0.000,0.000,0.007,0.000,0.000,0.031,0.000,0.016,0.014
